,id,first_name,last_name,full_name,birthday,rookie_year,gender,country,birth_place,twitter,height,weight,series
0,06c9c0f9-392a-4f0e-aae7-39bb417af02f,Matt,DiBenedetto,Matt DiBenedetto,1991-07-27,2015.0,M,UNITED STATES,"Grass Valley, California, United States",mattdracing,nan value,nan value,cw
1,4c71e8fa-6960-4c12-be70-92f4aa3d35d4,Dean,Thompson,Dean Thompson,2003-08-30,2022.0,M,UNITED STATES,"Anaheim, California, United States",nan value,nan value,nan value,cw
2,b1674f2f-dbc1-4c70-8fda-bb541fc39b04,Jordan,Anderson,Jordan Anderson,1991-04-15,2021.0,M,UNITED STATES,"Forest Acres, South Carolina, United States",j66anderson,nan value,nan value,cw
3,efa436b5-a014-407a-b884-33d66a5f5f58,Brad,Perez,Brad Perez,1997-01-21,2022.0,M,UNITED STATES,"Hollywood, Florida, United States",nan value,nan value,nan value,cw
4,919576ea-564f-46d0-8da2-5091eeb937de,Keith,McGee,Keith McGee,1981-05-07,2021.0,M,UNITED STATES,"Eagle River, Alaska, United States",nan value,nan value,nan value,cw
5,b1f0ccce-7de3-4eff-8e45-9d7e0c6ea98e,Tyler,Hill,Tyler Hill,1994-06-02,2019.0,M,UNITED STATES,"Port Tobacco, Maryland, United States",nan value,nan value,nan value,cw
6,b1f0ccce-7de3-4eff-8e45-9d7e0c6ea98e,Tyler,Hill,Tyler Hill,1994-06-02,2019.0,M,UNITED STATES,"Port Tobacco, Maryland, United States",nan value,nan value,nan value,cw
7,8cc72133-c5ea-49c1-9a23-f4db5464d42f,Kris,Wright,Kris Wright,1994-07-17,2021.0,M,UNITED STATES,"Wexford, Pennsylvania, United States",nan value,nan value,nan value,cw
8,9c0ead27-e7d3-4861-9e2d-a77e166dc955,Grant,Enfinger,Grant Enfinger,1985-01-22,2017.0,M,UNITED STATES,"Fairhope, Alabama, United States",GrantEnfinger,nan value,nan value,cw
9,1969b050-f0ce-4bb7-9d89-1f9fc00a336a,Andrew,Gordon,Andrew Gordon,1990-04-18,2021.0,M,UNITED STATES,"Columbia, South Carolina, United States",nan value,nan value,nan value,cw
10,4dfbbfdb-ecc5-4590-b68e-8d86a82fb2b8,Dillon,Steuer,Dillon Steuer,2002-04-05,2022.0,M,UNITED STATES,"Bohemia, New York, United States",nan value,nan value,nan value,cw
11,5b2a4c69-46ea-4b41-96ec-ec27d47ae89c,Matt,Mills,Matt Mills,1996-11-14,2016.0,M,UNITED STATES,"New Philadelphia, Ohio, United States",nan value,nan value,nan value,cw
12,d7fa1f2a-ebc5-4609-b1d4-2dff05797d8b,Justin S,Carroll,Justin S Carroll,1995-12-08,2022.0,M,UNITED STATES,"Williamsburg, Virginia, United States",nan value,nan value,nan value,cw
13,b5610b89-dded-41b1-bb85-bac0ccf63015,Matt,Crafton,Matt Crafton,1976-06-11,2000.0,M,UNITED STATES,"Tulare, California, United States",Matt_Crafton,71.0,160.0,cw
14,3ebef96f-43b4-422a-9d0c-db0127b25384,Alex,Bowman,Alex Bowman,1993-04-25,2013.0,M,UNITED STATES,"Tucson, Arizona, United States",AlexBRacing,nan value,nan value,cw
15,c8fe8af7-8850-43e9-8544-8df52aa7d66b,Stewart,Friesen,Stewart Friesen,1983-07-25,2017.0,M,CANADA,"Niagara-on-the-Lake, Ontario, Canada",nan value,nan value,nan value,cw
16,cb50ca4f-6226-453d-b380-aa365e2d19e7,Taylor,Gray,Taylor Gray,2005-03-25,2021.0,M,UNITED STATES,"Denver, North Carolina, United States",nan value,nan value,nan value,cw
17,cb50ca4f-6226-453d-b380-aa365e2d19e7,Taylor,Gray,Taylor Gray,2005-03-25,2021.0,M,UNITED STATES,"Denver, North Carolina, United States",nan value,nan value,nan value,cw
18,3ec1dd6a-c9b8-4d82-821f-23d0bdd4b310,Zane,Smith,Zane Smith,1999-06-09,2020.0,M,UNITED STATES,"Huntington Beach, California, United States",nan value,nan value,nan value,cw
19,2ca8a9b9-aa65-4af9-b745-fda1ddbce9ac,Bret,Holmes,Bret Holmes,1997-05-05,2021.0,M,UNITED STATES,"Munford, Alabama, United States",nan value,nan value,nan value,cw
20,c8f9328c-a3c3-4e76-baf5-83a557b63999,Thad,Moffitt,Thad Moffitt,2000-09-12,2022.0,M,UNITED STATES,"Trinity, North Carolina, United States",nan value,nan value,nan value,cw
21,e989356d-2e28-4e5d-95a1-0b8a06d668dc,Chandler,Smith,Chandler Smith,2002-06-26,2021.0,M,UNITED STATES,"Talking Rock, Georgia, United States",nan value,nan value,nan value,cw
22,fe744d70-4094-4c77-bb7d-6d6d08e94087,Jason M.,White,Jason M. White,1973-03-05,2018.0,M,CANADA,"Sun Peaks, , Canada",nan value,nan value,nan value,cw
23,ef39b0f3-31eb-4829-bc53-b3a01ddf549e,Jessica,Friesen,Jessica Friesen,1986-05-05,2021.0,F,UNITED STATES,"Sprakers, New York, United States",nan value,nan value,nan value,cw
24,fbc6a827-91db-4a6f-84a1-e3c928478c90,Clay,Greenfield,Clay Greenfield,1984-06-03,2010.0,M,UNITED STATES,"Clarksville, Tennessee, United States",claygreenfield,nan value,nan value,cw
25,177e15c0-12fe-4121-8f0b-1c2599593f9d,Kaden,Honeycutt,Kaden Honeycutt,2003-06-23,2022.0,M,UNITED STATES,"Willow Park, Texas, United States",nan value,nan value,nan value,cw
26,65633f63-647c-47d1-94c6-cdef425cda1e,Corey,Heim,Corey Heim,2002-07-05,2022.0,M,UNITED STATES,"Marietta, Georgia, United States",nan value,nan value,nan value,cw
27,65633f63-647c-47d1-94c6-cdef425cda1e,Corey,Heim,Corey Heim,2002-07-05,2022.0,M,UNITED STATES,"Marietta, Georgia, United States",nan value,nan value,nan value,cw
28,2987a290-93b9-4f4e-9b12-c68b4ed126a4,Riley,Herbst,Riley Herbst,1999-02-24,2020.0,M,UNITED STATES,"Las Vegas, Nevada, United States",nan value,nan value,nan value,cw
29,cc332998-5d7e-413f-8a9b-28a46373958b,Christian,Eckes,Christian Eckes,2000-11-10,2020.0,M,UNITED STATES,"Greenville, New York, United States",nan value,nan value,nan value,cw
30,fb6c45e9-990e-46e3-88df-174449c13334,Ross,Chastain,Ross Chastain,1992-12-04,2012.0,M,UNITED STATES,"Alva, Florida, United States",RossChastain,nan value,nan value,cw
31,27d6e4ac-466b-448e-aab4-0bc2dd62db7c,Colby,Howard,Colby Howard,2001-10-28,2019.0,M,UNITED STATES,"Simpsonville, South Carolina, United States",nan value,nan value,nan value,cw
32,6c1bc2c2-9ae3-4f1f-b3be-96b86962161f,Jason,Kitzmiller,Jason Kitzmiller,1973-07-25,2022.0,M,UNITED STATES,"Petersburg, West Virginia, United States",nan value,nan value,nan value,cw
33,dd981e3e-1cfd-43ed-9969-f69cde1961b4,Blake,Lothian,Blake Lothian,2002-07-26,2022.0,M,UNITED STATES,"Fayetteville, North Carolina, United States",nan value,nan value,nan value,cw
34,10558306-a1c2-4eb9-9b23-69551309aee2,Tanner,Gray,Tanner Gray,1999-04-15,2020.0,M,UNITED STATES,"Mooresville, North Carolina, United States",nan value,nan value,nan value,cw
35,10558306-a1c2-4eb9-9b23-69551309aee2,Tanner,Gray,Tanner Gray,1999-04-15,2020.0,M,UNITED STATES,"Mooresville, North Carolina, United States",nan value,nan value,nan value,cw
36,97a4a46c-baa3-4bff-8068-2fc347e37d9a,Brennan,Poole,Brennan Poole,1991-04-11,2016.0,M,UNITED STATES,"The Woodlands, Texas, United States",brennanpoole,nan value,nan value,cw
37,e71b88ec-f12c-4acd-bbc7-726833477f1f,Ty,Majeski,Ty Majeski,1994-08-18,2019.0,M,UNITED STATES,"Seymour, Wisconsin, United States",nan value,nan value,nan value,cw
38,d5435cba-2102-49e4-a1d8-389b11530304,Jennifer Jo,Cobb,Jennifer Jo Cobb,1973-06-12,2010.0,F,UNITED STATES,"Kansas City, Kansas, United States",JenJoCobb,nan value,nan value,cw
39,c9bf58a8-66b6-4d75-a441-c13130ded990,William,Byron,William Byron,1997-11-29,2016.0,M,UNITED STATES,"Charlotte, North Carolina, United States",WilliamByron,nan value,nan value,cw
40,4d5ede64-88da-4381-a164-13880230f74a,Johnny,Sauter,Johnny Sauter,1978-05-01,2009.0,M,UNITED STATES,"Necedah, Wisconsin, United States",JohnnySauter,71.0,nan value,cw
41,c1eed2a8-0542-46cc-b75a-d33265d96b77,Austin Wayne,Self,Austin Wayne Self,1996-03-05,2016.0,M,UNITED STATES,"Austin, Texas, United States",AustinWSelf,nan value,nan value,cw
42,5fd3e3fb-322f-4157-ae41-9317fba1997d,Chase,Elliott,Chase Elliott,1995-11-28,2014.0,M,UNITED STATES,"Dawsonville, Georgia, United States",chaseelliott,nan value,nan value,cw
43,894b273e-ce7d-446c-9ab0-d9a474ce9d7f,Joey,Logano,Joey Logano,1990-05-24,2009.0,M,UNITED STATES,"Middletown, Connecticut, United States",joeylogano,72.0,140.0,cw
44,391aecc5-94ea-4707-a1bf-e51fddd158e7,Derek,Kraus,Derek Kraus,2001-09-01,2020.0,M,UNITED STATES,"Stratford, Wisconsin, United States",nan value,nan value,nan value,cw
45,a9988edd-7707-4a75-9ee5-d3a8cae0c8aa,Timmy,Hill,Timmy Hill,1993-02-25,2011.0,M,UNITED STATES,"Port Tobacco, Maryland, United States",TimmyHillRacer,nan value,nan value,cw
46,8dd98524-b888-4f59-a32c-f6b66b3730b6,Sheldon,Creed,Sheldon Creed,1997-09-30,2019.0,M,UNITED STATES,"Alpine, California, United States",nan value,nan value,nan value,cw
47,18de8d55-bf38-4988-919f-eed5d6092f23,Blaine,Perkins,Blaine Perkins,2000-02-28,2022.0,M,UNITED STATES,"Bakersfield, California, United States",nan value,nan value,nan value,cw
48,8853e676-384e-4d08-8808-970fd111f36a,Austin,Dillon,Austin Dillon,1990-04-27,2010.0,M,UNITED STATES,"Welcome, North Carolina, United States",austindillon3,nan value,nan value,cw
49,c591a18b-9776-4932-843e-dc7013f8335c,Todd,Bodine,Todd Bodine,1964-02-27,1992.0,M,UNITED STATES,"Chemung, New York, United States",Team_Onion,67.0,nan value,cw
50,198c8de5-9175-4c42-acad-a1d8de6df398,Harrison,Burton,Harrison Burton,2000-10-09,2019.0,M,UNITED STATES,"Huntersville, North Carolina, United States",nan value,nan value,nan value,cw
51,a602316b-3712-4de2-9098-7fcd887e7bd2,Parker,Kligerman,Parker Kligerman,1990-08-08,2011.0,M,UNITED STATES,"Westport, Connecticut, United States",pkligerman,nan value,nan value,cw
52,e4522ae3-a66d-42e6-992d-f4ea7dd3284c,Carson,Hocevar,Carson Hocevar,2003-01-28,2021.0,M,UNITED STATES,"Portage, Michigan, United States",nan value,nan value,nan value,cw
53,b5e010a8-30ee-408e-9868-e710e16b3b62,Chase,Janes,Chase Janes,2001-03-02,2022.0,M,UNITED STATES,"Fort Wayne, Indiana, United States",nan value,nan value,nan value,cw
54,51b06822-f389-4256-bff2-ae5f5d8f7525,Kaz,Grala,Kaz Grala,1998-12-29,2017.0,M,UNITED STATES,"Westborough, Massachusetts, United States",nan value,nan value,nan value,cw
55,e9aeae63-d769-4371-8ded-39c1e0f1657e,Lawless,Alan,Lawless Alan,2000-02-02,2022.0,M,UNITED STATES,"Van Nuys, California, United States",nan value,nan value,nan value,cw
